audio,label
315_label_stuttered.wav,1
12_label_stuttered.wav,1
317_label_stuttered.wav,1
323_label_stuttered.wav,1
362_label_stuttered.wav,1
89_label_stuttered.wav,1
26_label_stuttered.wav,1
53_label_stuttered.wav,1
204_label_stuttered.wav,1
398_label_stuttered.wav,1
65_label_stuttered.wav,1
148_label_stuttered.wav,1
365_label_stuttered.wav,1
373_label_stuttered.wav,1
260_label_stuttered.wav,1
73_label_stuttered.wav,1
19_label_stuttered.wav,1
394_label_stuttered.wav,1
28_label_stuttered.wav,1
262_label_stuttered.wav,1
50_label_stuttered.wav,1
43_label_stuttered.wav,1
383_label_stuttered.wav,1
14_label_stuttered.wav,1
338_label_stuttered.wav,1
205_label_stuttered.wav,1
364_label_stuttered.wav,1
337_label_stuttered.wav,1
347_label_stuttered.wav,1
176_label_stuttered.wav,1
44_label_stuttered.wav,1
168_label_stuttered.wav,1
269_label_stuttered.wav,1
191_label_stuttered.wav,1
238_label_stuttered.wav,1
128_label_stuttered.wav,1
113_label_stuttered.wav,1
363_label_stuttered.wav,1
195_label_stuttered.wav,1
15_label_stuttered.wav,1
170_label_stuttered.wav,1
127_label_stuttered.wav,1
291_label_stuttered.wav,1
308_label_stuttered.wav,1
200_label_stuttered.wav,1
256_label_stuttered.wav,1
198_label_stuttered.wav,1
100_label_stuttered.wav,1
51_label_stuttered.wav,1
175_label_stuttered.wav,1
57_label_stuttered.wav,1
243_label_stuttered.wav,1
370_label_stuttered.wav,1
6_label_stuttered.wav,1
76_label_stuttered.wav,1
259_label_stuttered.wav,1
138_label_stuttered.wav,1
252_label_stuttered.wav,1
39_label_stuttered.wav,1
382_label_stuttered.wav,1
207_label_stuttered.wav,1
354_label_stuttered.wav,1
290_label_stuttered.wav,1
301_label_stuttered.wav,1
300_label_stuttered.wav,1
283_label_stuttered.wav,1
230_label_stuttered.wav,1
142_label_stuttered.wav,1
206_label_stuttered.wav,1
163_label_stuttered.wav,1
278_label_stuttered.wav,1
68_label_stuttered.wav,1
320_label_stuttered.wav,1
81_label_stuttered.wav,1
329_label_stuttered.wav,1
357_label_stuttered.wav,1
201_label_stuttered.wav,1
139_label_stuttered.wav,1
80_label_stuttered.wav,1
3_label_stuttered.wav,1
372_label_stuttered.wav,1
48_label_stuttered.wav,1
226_label_stuttered.wav,1
20_label_stuttered.wav,1
124_label_stuttered.wav,1
178_label_stuttered.wav,1
341_label_stuttered.wav,1
156_label_stuttered.wav,1
349_label_stuttered.wav,1
396_label_stuttered.wav,1
403_label_stuttered.wav,1
277_label_stuttered.wav,1
72_label_stuttered.wav,1
298_label_stuttered.wav,1
16_label_stuttered.wav,1
222_label_stuttered.wav,1
335_label_stuttered.wav,1
109_label_stuttered.wav,1
134_label_stuttered.wav,1
126_label_stuttered.wav,1
208_label_stuttered.wav,1
345_label_stuttered.wav,1
284_label_stuttered.wav,1
330_label_stuttered.wav,1
193_label_stuttered.wav,1
297_label_stuttered.wav,1
281_label_stuttered.wav,1
309_label_stuttered.wav,1
240_label_stuttered.wav,1
1_label_stuttered.wav,1
233_label_stuttered.wav,1
64_label_stuttered.wav,1
27_label_stuttered.wav,1
91_label_stuttered.wav,1
58_label_stuttered.wav,1
292_label_stuttered.wav,1
77_label_stuttered.wav,1
105_label_stuttered.wav,1
155_label_stuttered.wav,1
388_label_stuttered.wav,1
196_label_stuttered.wav,1
321_label_stuttered.wav,1
194_label_stuttered.wav,1
376_label_stuttered.wav,1
219_label_stuttered.wav,1
52_label_stuttered.wav,1
306_label_stuttered.wav,1
179_label_stuttered.wav,1
245_label_stuttered.wav,1
125_label_stuttered.wav,1
158_label_stuttered.wav,1
182_label_stuttered.wav,1
234_label_stuttered.wav,1
404_label_stuttered.wav,1
368_label_stuttered.wav,1
343_label_stuttered.wav,1
227_label_stuttered.wav,1
121_label_stuttered.wav,1
18_label_stuttered.wav,1
202_label_stuttered.wav,1
268_label_stuttered.wav,1
199_label_stuttered.wav,1
258_label_stuttered.wav,1
49_label_stuttered.wav,1
275_label_stuttered.wav,1
56_label_stuttered.wav,1
180_label_stuttered.wav,1
29_label_stuttered.wav,1
214_label_stuttered.wav,1
70_label_stuttered.wav,1
86_label_stuttered.wav,1
97_label_stuttered.wav,1
286_label_stuttered.wav,1
197_label_stuttered.wav,1
169_label_stuttered.wav,1
254_label_stuttered.wav,1
249_label_stuttered.wav,1
5_label_stuttered.wav,1
141_label_stuttered.wav,1
88_label_stuttered.wav,1
216_label_stuttered.wav,1
361_label_stuttered.wav,1
74_label_stuttered.wav,1
114_label_stuttered.wav,1
247_label_stuttered.wav,1
371_label_stuttered.wav,1
307_label_stuttered.wav,1
213_label_stuttered.wav,1
282_label_stuttered.wav,1
145_label_stuttered.wav,1
203_label_stuttered.wav,1
123_label_stuttered.wav,1
186_label_stuttered.wav,1
36_label_stuttered.wav,1
83_label_stuttered.wav,1
2_label_stuttered.wav,1
154_label_stuttered.wav,1
32_label_stuttered.wav,1
146_label_stuttered.wav,1
129_label_stuttered.wav,1
144_label_stuttered.wav,1
62_label_stuttered.wav,1
261_label_stuttered.wav,1
239_label_stuttered.wav,1
133_label_stuttered.wav,1
189_label_stuttered.wav,1
339_label_stuttered.wav,1
375_label_stuttered.wav,1
136_label_stuttered.wav,1
318_label_stuttered.wav,1
4_label_stuttered.wav,1
159_label_stuttered.wav,1
106_label_stuttered.wav,1
90_label_stuttered.wav,1
319_label_stuttered.wav,1
270_label_stuttered.wav,1
190_label_stuttered.wav,1
151_label_stuttered.wav,1
9_label_stuttered.wav,1
215_label_stuttered.wav,1
228_label_stuttered.wav,1
101_label_stuttered.wav,1
117_label_stuttered.wav,1
391_label_stuttered.wav,1
92_label_stuttered.wav,1
299_label_stuttered.wav,1
367_label_stuttered.wav,1
153_label_stuttered.wav,1
